feature_set,metric,model_a,model_b,model_a_mean,model_b_mean,percent_change_a_vs_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
B_no_component_costs,r2,Two-stage TL | training-selected,XGBoost,0.7390340822371833,0.787743531620772,-6.183414706480639,10,-0.04870944938358883,-0.048598289021749785,0.14528452370403744,-0.14017006841587323,0.03398398519330096,14.0,exact,0.193359375,7,3,0,0.580078125,False
B_no_component_costs,mape_pct,Two-stage TL | training-selected,XGBoost,32.58143855935408,28.510463393131396,14.278881090383988,10,4.070975166222688,1.5302853703943313,7.752635976108225,0.10683473333563148,9.070562576577176,14.0,exact,0.193359375,4,6,0,0.580078125,False
B_no_component_costs,rmse,Two-stage TL | training-selected,XGBoost,51186.06597123049,47353.568553478006,8.09336557903617,10,3832.497417752492,6342.682982082082,11334.066597794053,-2786.1472008237556,10382.936173415455,14.0,exact,0.193359375,3,7,0,0.580078125,False
B_no_component_costs,rmse_q3,Two-stage TL | training-selected,XGBoost,76540.73858882874,76579.89766948046,-0.051134934680548486,10,-39.15908065171898,-988.5393145207418,22493.683421931255,-14218.001103145481,12226.353172209096,24.0,exact,0.76953125,5,5,0,1.0,False
B_no_component_costs,rmse_q3_iqr2,Two-stage TL | training-selected,XGBoost,90026.60058046613,92015.32507131631,-2.161297033194016,10,-1988.7244908501757,-6071.018801957853,27261.368855533783,-18981.549767628076,12947.331962831944,25.0,exact,0.845703125,6,4,0,1.0,False
C_physical_quantity,r2,Two-stage TL | training-selected,ANN,0.7183437603595895,0.7961631910530382,-9.774306520064258,10,-0.0778194306934487,-0.04308070156666011,0.16982654608189052,-0.18770877446140805,0.006250419203188167,15.0,exact,0.232421875,6,4,0,0.5234375,False
C_physical_quantity,mape_pct,Two-stage TL | training-selected,ANN,31.140302591075073,28.30802472829317,10.00521191417186,10,2.8322778627819023,0.9112806348796632,8.855479763544286,-1.900385847743139,8.423655406174046,20.0,exact,0.4921875,3,7,0,1.0,False
C_physical_quantity,rmse,Two-stage TL | training-selected,ANN,52853.82479307575,46628.991686598245,13.349705582989477,10,6224.833106477503,5698.337013354067,12641.589632793231,-711.5214236966483,14148.189008034618,15.0,exact,0.232421875,4,6,0,0.46484375,False
C_physical_quantity,rmse_q3,Two-stage TL | training-selected,ANN,82918.04925325829,76461.80386178379,8.443752390599014,10,6456.245391474487,6782.73613694897,11833.30462831547,-454.4813328343318,13525.596250322784,12.0,exact,0.130859375,3,7,0,0.5234375,False
C_physical_quantity,rmse_q3_iqr2,Two-stage TL | training-selected,ANN,97296.34655137287,92549.75385661621,5.1286929429443715,10,4746.592694756671,6055.6447468656115,14463.139689719452,-3882.638288750208,12837.212633347797,15.0,exact,0.232421875,3,7,0,0.9296875,False
C_physical_quantity,r2,Two-stage TL | training-selected,CatBoost,0.7183437603595895,0.8080348932450695,-11.099908387035155,10,-0.08969113288548006,-0.026024809637350932,0.18383735756146466,-0.20848865920118878,0.0037194722901259525,12.0,exact,0.130859375,7,3,0,0.5234375,False
C_physical_quantity,mape_pct,Two-stage TL | training-selected,CatBoost,31.140302591075073,27.053090067776985,15.108117087764327,10,4.087212523298088,0.7965423200900563,8.856341498281425,-0.5935531415880593,9.789099380070418,21.0,exact,0.556640625,4,6,0,1.0,False
