analysis_label,metric,feature_set_a,feature_set_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
Monotonic GBM,r2,B_no_component_costs,C_physical_quantity,10,-0.013538007403448248,-0.010232018006733568,0.0255021453564653,-0.028906500083951493,0.0011596163080023758,13.0,exact,0.16015625,6,4,0,0.16015625,False
Monotonic GBM,mape_pct,A_all_21,B_no_component_costs,10,-13.0645599863434,-12.83939089734054,5.814719358274836,-16.422246633369888,-9.653674545252237,0.0,exact,0.001953125,10,0,0,0.005859375,True
Monotonic GBM,mape_pct,A_all_21,C_physical_quantity,10,-12.629266055696181,-13.314226091540455,6.09732978162923,-16.133996183764673,-8.932710385911898,0.0,exact,0.001953125,10,0,0,0.005859375,True
Monotonic GBM,mape_pct,B_no_component_costs,C_physical_quantity,10,0.4352939306472191,0.7260556832332519,1.3656598133364002,-0.34966143089014123,1.2437211041657192,20.0,exact,0.4921875,4,6,0,0.4921875,False
Monotonic GBM,rmse,A_all_21,B_no_component_costs,10,-9862.833684497102,-9909.400377156842,4050.857337883719,-12158.082064663677,-7370.7176168638125,0.0,exact,0.001953125,10,0,0,0.005859375,True
Monotonic GBM,rmse,A_all_21,C_physical_quantity,10,-8297.23625834372,-7431.832249613019,5347.912592412588,-11273.42628432039,-4916.672697652239,1.0,exact,0.00390625,9,1,0,0.0078125,True
Monotonic GBM,rmse,B_no_component_costs,C_physical_quantity,10,1565.5974261533818,968.3956564096225,2783.6035065228343,-37.06102257998051,3301.1859491513264,13.0,exact,0.16015625,4,6,0,0.16015625,False
Monotonic GBM,rmse_q3,A_all_21,B_no_component_costs,10,-13725.514224239854,-13156.829438388158,8552.852363744978,-18759.10321680245,-9010.562773082744,0.0,exact,0.001953125,10,0,0,0.005859375,True
Monotonic GBM,rmse_q3,A_all_21,C_physical_quantity,10,-9734.736317934996,-6179.4132124686985,10527.105180468607,-16265.61066060278,-3908.3368376541234,2.0,exact,0.005859375,9,1,0,0.01171875,True
Monotonic GBM,rmse_q3,B_no_component_costs,C_physical_quantity,10,3990.7779063048574,1994.159312247888,4948.173763362996,1326.5696086175649,7066.326939532881,6.0,exact,0.02734375,3,7,0,0.02734375,True
Monotonic GBM,rmse_q3_iqr2,A_all_21,B_no_component_costs,10,-16784.929361666793,-17510.88441152905,10180.562968474835,-22806.61295231457,-11075.823946577722,0.0,exact,0.001953125,10,0,0,0.005859375,True
Monotonic GBM,rmse_q3_iqr2,A_all_21,C_physical_quantity,10,-11214.805074738457,-7913.3116994279335,13332.360618642908,-19174.373612610252,-3576.035217169239,6.0,exact,0.02734375,9,1,0,0.0546875,False
Monotonic GBM,rmse_q3_iqr2,B_no_component_costs,C_physical_quantity,10,5570.124286928336,3153.634604783085,6712.694290294195,1823.2925713575623,9623.671195840354,6.0,exact,0.02734375,3,7,0,0.0546875,False
Two-stage TL | training-selected,r2,A_all_21,B_no_component_costs,10,0.18111241331631217,0.15069949936171556,0.12020467958924358,0.12439817972138609,0.2619435206386905,0.0,exact,0.001953125,0,10,0,0.005859375,True
Two-stage TL | training-selected,r2,A_all_21,C_physical_quantity,10,0.2018027351939058,0.16664724030850198,0.1304740082343127,0.1424845474536322,0.288863809258492,0.0,exact,0.001953125,0,10,0,0.005859375,True
Two-stage TL | training-selected,r2,B_no_component_costs,C_physical_quantity,10,0.020690321877593648,0.02662425805455082,0.043330252185725025,-0.00701291612291849,0.04420647489674765,12.0,exact,0.130859375,3,7,0,0.130859375,False
Two-stage TL | training-selected,mape_pct,A_all_21,B_no_component_costs,10,-17.769150069725896,-18.23483562948894,6.506128594867551,-21.59738351288083,-14.012220125981766,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,mape_pct,A_all_21,C_physical_quantity,10,-16.328014101446882,-16.54568231677746,6.8997585811496664,-20.584472704425558,-12.499678876265396,0.0,exact,0.001953125,10,0,0,0.005859375,True
