seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank,source_task
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3,Aggressive,,,,,0.7756142124386516,17.9196843091479,50334.11166448889,85034.95312754049,84453.41536706079,,,,,,,8.0,A_all_21_seed42
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,aggregate,,Q3+IQR/2,Aggressive,,,,,0.7471030652686106,16.207504050262525,56747.63142478804,108238.07238746686,131754.72458009588,,,,,,,9.0,A_all_21_seed42
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Mean,Conservative,142645.11869314933,41.0,200.0,"[""dense_3"", ""dense_4""]",0.7656152678417169,20.88066561582058,65264.8851382185,111384.283072719,132347.50696078816,33076.13383731533,15874.786677817205,-9985.04334585775,0.4387755102040816,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Mean,Balanced,142645.11869314933,41.0,8.0,"[""dense_3""]",0.8709334373492825,17.268084847981296,48430.81649011788,83644.84936875552,98916.42223141858,24732.70199965821,9656.22204042764,-12405.309184034664,0.5,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Mean,Aggressive,142645.11869314933,41.0,53.0,[],0.4099529466094979,26.60668503032545,103551.94052591894,177264.8621248227,214152.08980866268,50102.90809918565,15698.303054249156,-21863.827218292092,0.4693877551020408,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Q3,Conservative,170057.95092,53.0,147.0,"[""dense_3"", ""dense_4""]",0.8704131707280649,16.026939947283893,48528.33049998515,83831.79205802186,96740.88801149064,22608.7539822996,8696.06934879168,-3758.958410825012,0.4489795918367347,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Q3,Balanced,170057.95092,53.0,4.0,"[""dense_3""]",0.8468781877690785,16.038843233813115,52751.334285085424,91814.50344519208,108608.58937654315,24205.614069439067,9550.293812468051,-9794.197260244577,0.4795918367346938,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Q3,Aggressive,170057.95092,53.0,1.0,[],0.8106892200426472,22.89200637349404,58654.66939732622,99347.52715990526,92491.55759537336,36499.0586095328,10855.390427719603,18677.37876172582,0.3469387755102041,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Q3+IQR/2,Conservative,213826.73814,60.0,73.0,"[""dense_3"", ""dense_4""]",0.8833374294800409,12.967539515820874,46044.8104585746,79520.44902657733,95007.0171613828,20427.743497449777,10105.386912214097,-14390.459783132324,0.6530612244897959,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Q3+IQR/2,Balanced,213826.73814,60.0,1.0,"[""dense_3""]",0.909223765801538,14.237722322436206,40616.3600266394,69543.63705883523,81722.87203408603,22601.296866356937,11580.524798697696,-4771.978513728118,0.5714285714285714,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,0.0,Q3+IQR/2,Aggressive,213826.73814,60.0,24.0,[],0.8147027439912311,14.251054183696365,58029.57807953974,101324.24441327124,121623.81932161542,25469.471902150453,11116.279883861149,-16145.089146444465,0.6224489795918368,31.0,21.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Mean,Conservative,150922.28660822625,95.0,200.0,"[""dense_3"", ""dense_4""]",0.8075699525372964,19.005835255506305,43931.32089386517,82098.33735605858,99199.5846587304,25636.10116358092,15916.474335667586,-959.6768308185676,0.3877551020408163,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Mean,Balanced,150922.28660822625,95.0,17.0,"[""dense_3""]",0.9267895226707996,15.886633848899558,27097.201274918945,43269.8113724536,51415.98552606462,18277.20059892329,12892.153180606703,-3867.621927030463,0.4795918367346938,22.0,14.0,,A_all_21_seed43
