seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds,source_task
44,seed_44,B_no_component_costs,75589881aa0c3e0b30e3094641de5fe49e0d32ddd2c9d2f75fedbdc6cc1c98ed,0f5851ecd7b0628f755201e1656affe8c4cb47f695749ce25470856e30086061,Mean,148192.40824315403,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9337775741143824,0.71875,0.9019607843137256,0.8,167,126,75,51,62,64,0.331290899999658,B_no_component_costs_seed44
44,seed_44,B_no_component_costs,75589881aa0c3e0b30e3094641de5fe49e0d32ddd2c9d2f75fedbdc6cc1c98ed,0f5851ecd7b0628f755201e1656affe8c4cb47f695749ce25470856e30086061,Q3,180744.96168,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.7795874760160474,0.8333333333333334,0.8064516129032258,0.819672131147541,219,74,95,31,96,30,0.3496033000001262,B_no_component_costs_seed44
44,seed_44,B_no_component_costs,75589881aa0c3e0b30e3094641de5fe49e0d32ddd2c9d2f75fedbdc6cc1c98ed,0f5851ecd7b0628f755201e1656affe8c4cb47f695749ce25470856e30086061,Q3+IQR/2,229496.46768,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.7596269205464607,0.9,0.8181818181818182,0.8571428571428571,248,45,104,22,106,20,0.3259808000002522,B_no_component_costs_seed44
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,Mean,140511.27038840996,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8895932555161764,0.9365079365079364,0.8939393939393939,0.9147286821705426,162,131,60,66,63,63,0.3641274000001431,B_no_component_costs_seed45
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,Q3,171813.564,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.7710101448703273,0.9393939393939394,0.7209302325581395,0.8157894736842105,219,74,83,43,93,33,0.3682081000006292,B_no_component_costs_seed45
45,seed_45,B_no_component_costs,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,Q3+IQR/2,215802.75852000003,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8472222222222223,0.8947368421052632,0.6538461538461539,0.7555555555555555,245,48,100,26,107,19,0.3359105999998064,B_no_component_costs_seed45
46,seed_46,B_no_component_costs,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,Mean,148157.26402827346,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9012127697520956,0.8703703703703703,0.9215686274509804,0.8952380952380953,167,126,75,51,72,54,0.3587475000003906,B_no_component_costs_seed46
46,seed_46,B_no_component_costs,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,Q3,182425.19112,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8757896692679301,0.7586206896551724,0.7586206896551724,0.7586206896551724,219,74,97,29,97,29,0.3185788000000684,B_no_component_costs_seed46
46,seed_46,B_no_component_costs,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,Q3+IQR/2,231146.88912,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8340631271665754,0.9230769230769232,0.5714285714285714,0.7058823529411765,249,44,105,21,113,13,0.3132307000005312,B_no_component_costs_seed46
47,seed_47,B_no_component_costs,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Mean,149455.57376518776,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8839001387361355,0.8363636363636363,0.92,0.8761904761904762,167,126,76,50,71,55,0.3858590999998341,B_no_component_costs_seed47
47,seed_47,B_no_component_costs,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Q3,186341.08104,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8143753409710857,0.7878787878787878,0.9285714285714286,0.8524590163934426,219,74,98,28,93,33,0.348453900000095,B_no_component_costs_seed47
47,seed_47,B_no_component_costs,3f0134afbd7c57daa14c50b802030b63752f729f44855ec6e684d9349c761e88,e0aab9c21368a8ad6eb1b90ec32048d4b3928446fd906ea45d89df1ad5a2dee7,Q3+IQR/2,236416.03020000004,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.7757142857142857,0.8125,0.65,0.7222222222222222,253,40,106,20,110,16,0.3746524999996836,B_no_component_costs_seed47
48,seed_48,B_no_component_costs,e9e1331b27f17b73295707f546e198a7a805e20e4e4c0ce431a42529e21c8740,1115fcdeb87f670a34953e9a399af07ab4d3812db875679a38639579782c77b2,Mean,142432.68411619155,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8493356848912404,0.9523809523809524,0.8955223880597015,0.9230769230769232,170,123,59,67,63,63,0.4133670000001075,B_no_component_costs_seed48
48,seed_48,B_no_component_costs,e9e1331b27f17b73295707f546e198a7a805e20e4e4c0ce431a42529e21c8740,1115fcdeb87f670a34953e9a399af07ab4d3812db875679a38639579782c77b2,Q3,172503.33768,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.7793090479260693,0.9090909090909092,0.7317073170731707,0.8108108108108109,219,74,85,41,93,33,0.3702217999998538,B_no_component_costs_seed48
48,seed_48,B_no_component_costs,e9e1331b27f17b73295707f546e198a7a805e20e4e4c0ce431a42529e21c8740,1115fcdeb87f670a34953e9a399af07ab4d3812db875679a38639579782c77b2,Q3+IQR/2,217622.21076,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.7971658615136876,0.95,0.59375,0.7307692307692307,251,42,94,32,106,20,0.4069667000003392,B_no_component_costs_seed48
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Mean,148264.22161079905,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8937776924809958,0.8833333333333333,0.913793103448276,0.8983050847457628,175,118,68,58,66,60,0.3526384999995571,B_no_component_costs_seed49
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3,177010.71696000002,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8592995169082126,0.8529411764705882,0.7837837837837838,0.8169014084507042,219,74,89,37,92,34,0.3850332000001799,B_no_component_costs_seed49
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,Q3+IQR/2,222112.26612000004,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.7897509578544061,0.875,0.875,0.875,247,46,102,24,102,24,0.3541478000006464,B_no_component_costs_seed49
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,Mean,146587.48120233486,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8789249079946754,0.9019607843137256,0.9387755102040816,0.92,165,128,77,49,75,51,0.3910668999997142,B_no_component_costs_seed50
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,Q3,177010.71696000002,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8061944276949876,0.9666666666666668,0.7837837837837838,0.8656716417910447,219,74,89,37,96,30,0.3516743000000133,B_no_component_costs_seed50
